timestamp,open,high,low,close,volume
2016/4/29,716.1,725.766,689,693.01,13157281
2016/4/22,760.46,769.9,713.61,718.77,14131019
2016/4/15,743.02,761,731.01,759,7225324
2016/4/8,750.06,752.8,735.37,739.15,6064369
2016/4/1,736.79,757.88,728.76,749.91,8283055
2016/3/24,736.5,745.7199,731,735.3,6133242
2016/3/18,726.81,743.07,724.51,737.6,9905130
2016/3/11,706.9,726.92,685.34,726.82,11272352
2016/3/4,700.32,720,697.68,710.89,10191618
2016/2/26,707.45,713.43,680.78,705.07,9808357
2016/2/19,692.98,712.35,685.05,700.91,8485184
2016/2/12,667.85,701.31,663.06,682.4,15659692
2016/2/5,750.46,789.8699,680.15,683.57,27932736
2016/1/29,723.58,744.9899,694.39,742.95,11388350
2016/1/22,703.3,728.13,673.26,725.25,10137048
2016/1/15,716.61,734.74,685.37,694.45,12450737
2016/1/8,743,752,713,714.47,12585099
2015/12/31,752.92,779.98,749.52,758.88,6075172
2015/12/24,746.13,754.85,740,748.4,4985172
2015/12/18,741.79,762.68,724.17,739.31,11782877
2015/12/11,767.77,768.73,736.75,738.87,10554569
2015/12/4,748.81,775.955,741.27,766.81,11810542
2015/11/27,757.45,762.7075,737.63,750.26,5710334
2015/11/20,715.6,757.92,711.33,756.6,8638048
2015/11/13,730.2,741,716.73,717,8957454
2015/11/6,711.06,739.48,705.85,733.76,8531478
2015/10/30,701.55,719.15,701.26,710.81,10506067
2015/10/23,661.18,730,641.73,702,16494604
2015/10/16,642.09,664.97,639.01,662.2,7996152
2015/10/9,632,650.609,625.56,643.61,9964021
2015/10/2,610.34,627.34,589.38,626.91,12305428
2015/9/25,634.4,636.49,611,611.97,10236431
2015/9/18,625.7,650.9,619.43,629.25,12481198
2015/9/11,612.49,626.52,604.12,625.77,7260453
2015/9/4,627.54,635.8,594.1,600.7,12303487
2015/8/28,573,643.59,565.05,630.38,19014228
2015/8/21,656.8,667,612.33,612.48,11762338
2015/8/14,639.48,674.9,631.249,657.12,12662021
2015/8/7,625.34,647.86,625.34,635.3,7780516
2015/7/31,621,635.22,620.5,625.61,9158129
2015/7/24,659.24,678.64,622.52,623.56,19822233
2015/7/17,532.88,674.468,532.4001,672.93,23168356
2015/7/10,519.5,532.56,515.18,530.13,7973482
2015/7/2,525.01,528.61,518.2305,523.4,7370673
2015/6/26,539.59,543.74,531.35,531.69,7179167
2015/6/19,528,538.25,524,536.69,7725338
2015/6/12,533.31,538.98,523.01,532.33,6967688
2015/6/5,536.79,543.5,529.76,533.33,8296914
2015/5/29,538.12,540.61,529.88,532.11,7558787
2015/5/22,532.01,544.19,528.85,540.11,8040103
2015/5/15,538.37,541.98,525.26,533.85,7167800
2015/5/8,538.53,544.07,521.085,538.22,7331908
2015/5/1,563.39,565.95,532.1,537.9,9438178
2015/4/24,525.6,571.14,524.5,565.06,14196810
2015/4/17,538.41,544.06,521.01,524.05,9992623
2015/4/10,532.22,543.85,529.57,540.01,6754557
2015/4/2,551.62,554.71,533.8467,535.53,6537090
2015/3/27,560.43,574.59,548.13,548.34,9822578
2015/3/20,550.95,561.72,546,560.36,9369516
2015/3/13,566.86,570.27,544.22,547.32,7747100
2015/3/6,560.53,577.91,558.75,567.685,8735953
2015/2/27,536.05,564.71,528.25,558.4,8986113
2015/2/20,546.83,550,535.8,538.95,5490218
2015/2/13,528,549.91,526.02,549.01,7894272
2015/2/6,531.73,537.2,518.55,531,10137523
2015/1/30,538.53,539.87,501.2,534.52,14883499
2015/1/23,511,542.17,506.016,539.95,9433420
2015/1/16,494.94,508.19,487.56,508.08,11919169
2015/1/9,523.26,524.33,491,496.17,12404905
2015/1/2,532.19,535.48,524.1,524.81,5968508
2014/12/26,516.08,534.56,516.08,534.03,6656928
2014/12/19,522.74,523.1,489,516.35,16240316
2014/12/12,527.13,536.33,518.66,518.66,9515311
2014/12/5,538.9,541.41,524.28,525.26,8862225
2014/11/28,537.65,543.98,535.62,541.83,6151383
2014/11/21,543.58,543.79,530.08,537.5,8844766
2014/11/14,541.46,551.9399,541.02,544.4,5844716
2014/11/7,555.5,557.9,538.67,541.01,7604875
2014/10/31,537.03,559.57,537.03,559.08,7710006
2014/10/24,509.45,547.22,508.1,539.78,12172562
2014/10/17,544.99,549.5,508.53,511.17,17737539
2014/10/10,578.8,581,544.05,544.49,10703962
2014/10/3,571.75,579.85,563.32,575.28,6658611
2014/9/26,593.82,593.949,574.18,577.1,8228835
2014/9/19,572.94,596.48,568.21,596.08,9924700
2014/9/12,586.6,591.77,574.46,575.62,6500500
2014/9/5,571.85,586.55,571.19,586.08,5868000
2014/8/29,584.72,585,567.0692,571.6,7061800
2014/8/22,576.11,587.34,576,582.56,4989700
2014/8/15,569.99,579.38,560.88,573.48,6684900
2014/8/8,569.04,575.35,560,568.77,6899700
2014/8/1,588.07,592.5,562.85,566.07,7390900
2014/7/25,591.75,599.65,585.2326,589.02,6943000
2014/7/18,582.6,596.8,568.61,595.08,11872400
2014/7/11,583.76,586.4299,565.01,579.18,7050000
2014/7/3,578.66,585.4399,574.75,584.73,4519900
2014/6/27,555.15,582.45,554.25,577.24,9665700
2014/6/20,549.26,557.58,539.33,556.36,11821600
2014/6/13,557.15,563.6,545.56,551.76,6580300
2014/6/6,560.7,560.9,538.75,556.33,8520600
2014/5/30,556,567.84,554.35,559.89,6862600
2014/5/23,519.7,553.64,517.583,552.7,7785500
2014/5/16,523.51,536.07,515.44,520.63,7925600
2014/5/9,524.82,528.9,503.3,518.73,10369800
2014/5/2,517.18,533.9999,502.8,527.93,11348700
2014/4/25,536.1,537.23,515.42,516.18,10937900
2014/4/17,538.25,557,518.4601,536.1,18083300
2014/4/11,540.74,565.37,526.53,530.6,18793800
2014/4/4,566.89,604.83,543,543.14,11602500
